season,teamsk,teamname,opponentsk,opponentname,matchesplayed,wins,losses,noresults,runsscored,runsconceded,ingestionts
2008,1,Chennai Super Kings,9,Kings XI Punjab,3,3,0,0,537,482,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,4,Rajasthan Royals,2,1,1,0,207,208,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,2,0,0,228,323,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,3,Kochi Tuskers Kerala,2,1,1,0,297,260,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,12,Mumbai Indians,2,1,1,0,342,306,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,1,Chennai Super Kings,2,1,1,0,328,331,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,10,Pune Warriors,2,1,1,0,315,276,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,11,Delhi Daredevils,3,1,2,0,463,476,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,8,Rising Pune Supergiants,2,1,1,0,333,338,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,426,405,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,2,0,0,335,267,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,1,Chennai Super Kings,3,0,3,0,482,537,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,246,299,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,7,Kolkata Knight Riders,2,1,1,0,299,301,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,8,Rising Pune Supergiants,2,1,1,0,237,241,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,7,Kolkata Knight Riders,1,0,1,0,119,120,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,1,Chennai Super Kings,3,2,1,0,490,489,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,8,Rising Pune Supergiants,2,0,2,0,312,327,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,12,Mumbai Indians,1,1,0,0,145,143,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,12,Mumbai Indians,3,1,2,0,472,438,2026-01-07T06:37:18.867Z
2010,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,1,1,0,297,296,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,7,Kolkata Knight Riders,2,1,1,0,265,265,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,1,1,0,310,194,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,291,288,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,1,Chennai Super Kings,2,0,2,0,248,307,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,11,Delhi Daredevils,2,0,2,0,292,296,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,7,Kolkata Knight Riders,2,1,1,0,371,371,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,11,Delhi Daredevils,2,1,1,0,338,312,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,6,Royal Challengers Bangalore,2,1,1,0,298,296,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,9,Kings XI Punjab,2,1,1,0,353,327,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,6,Royal Challengers Bangalore,3,2,1,0,419,408,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,2,Deccan Chargers,2,1,1,0,297,270,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,12,Mumbai Indians,2,2,0,0,322,234,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,1,1,0,326,352,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,2,Deccan Chargers,2,2,0,0,332,303,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,0,Sunrisers Hyderabad,2,2,0,0,404,326,2026-01-07T06:37:18.867Z
2010,1,Chennai Super Kings,11,Delhi Daredevils,2,1,1,0,302,298,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,0,Sunrisers Hyderabad,2,0,2,0,322,326,2026-01-07T06:37:18.867Z
2009,12,Mumbai Indians,1,Chennai Super Kings,2,1,1,0,312,297,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,1,1,0,238,165,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,4,Rajasthan Royals,2,2,0,0,360,332,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,334,332,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,10,Pune Warriors,2,1,1,0,298,321,2026-01-07T06:37:18.867Z
2017,6,Royal Challengers Bangalore,12,Mumbai Indians,2,0,2,0,304,310,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,12,Mumbai Indians,2,1,1,0,249,249,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,4,Rajasthan Royals,3,2,0,1,514,239,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,7,Kolkata Knight Riders,3,1,2,0,397,413,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,12,Mumbai Indians,2,2,0,0,305,263,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,8,Rising Pune Supergiants,2,1,1,0,325,325,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,7,Kolkata Knight Riders,2,2,0,0,346,298,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,4,Rajasthan Royals,2,1,1,0,307,255,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,7,Kolkata Knight Riders,2,1,1,0,302,270,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,4,Rajasthan Royals,2,0,2,0,291,357,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,7,Kolkata Knight Riders,2,1,1,0,308,268,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,6,Royal Challengers Bangalore,2,2,0,0,318,230,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,2,Deccan Chargers,3,2,1,0,476,463,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,321,318,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,10,Pune Warriors,1,1,0,0,181,155,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,0,Sunrisers Hyderabad,2,1,1,0,313,308,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,12,Mumbai Indians,2,0,2,0,257,284,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,1,Chennai Super Kings,2,1,1,0,400,406,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,7,Kolkata Knight Riders,2,1,1,0,344,318,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,9,Kings XI Punjab,2,0,2,0,284,292,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,4,Rajasthan Royals,1,0,1,0,143,144,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,7,Kolkata Knight Riders,2,1,1,0,290,295,2026-01-07T06:37:18.867Z
2014,4,Rajasthan Royals,11,Delhi Daredevils,2,2,0,0,357,291,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,12,Mumbai Indians,2,0,2,0,321,324,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,12,Mumbai Indians,2,1,1,0,290,289,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,12,Mumbai Indians,2,1,1,0,248,221,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,4,Rajasthan Royals,2,0,2,0,359,375,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,2,0,0,386,294,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,1,1,0,296,297,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,12,Mumbai Indians,2,0,2,0,254,299,2026-01-07T06:37:18.867Z
2017,11,Delhi Daredevils,7,Kolkata Knight Riders,2,0,2,0,328,330,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,9,Kings XI Punjab,2,2,0,0,366,335,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,332,334,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,4,Rajasthan Royals,2,2,0,0,373,342,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,428,422,2026-01-07T06:37:18.867Z
2008,1,Chennai Super Kings,6,Royal Challengers Bangalore,2,1,1,0,290,291,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,0,2,0,384,388,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,9,Kings XI Punjab,2,2,0,0,326,225,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,2,1,1,0,307,249,2026-01-07T06:37:18.867Z
2017,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,255,205,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,11,Delhi Daredevils,2,2,0,0,292,284,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,11,Delhi Daredevils,2,1,1,0,321,298,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,11,Delhi Daredevils,2,1,1,0,343,334,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,1,Chennai Super Kings,3,2,1,0,433,439,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,11,Delhi Daredevils,2,0,2,0,277,285,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,9,Kings XI Punjab,2,2,0,0,301,266,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,1,Chennai Super Kings,2,1,1,0,291,290,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,1,1,0,284,284,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,1,1,0,352,326,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,2,Deccan Chargers,2,2,0,0,353,269,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,10,Pune Warriors,2,2,0,0,296,250,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,0,Sunrisers Hyderabad,2,2,0,0,271,250,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,1,Chennai Super Kings,2,1,1,0,359,357,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,9,Kings XI Punjab,2,2,0,0,368,294,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,2,1,1,0,310,264,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,8,Rising Pune Supergiants,2,1,1,0,255,227,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,2,Deccan Chargers,2,2,0,0,316,291,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,4,Rajasthan Royals,2,0,2,0,298,346,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,1,Chennai Super Kings,1,0,1,0,205,208,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,11,Delhi Daredevils,2,0,2,0,262,300,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,9,Kings XI Punjab,4,3,1,0,622,615,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,11,Delhi Daredevils,2,1,1,0,269,269,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,5,Gujarat Lions,2,0,2,0,315,320,2026-01-07T06:37:18.867Z
2010,1,Chennai Super Kings,12,Mumbai Indians,3,2,1,0,513,468,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,331,326,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,12,Mumbai Indians,4,3,1,0,637,612,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,7,Kolkata Knight Riders,2,1,1,0,340,339,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,6,Royal Challengers Bangalore,2,0,2,0,286,290,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,306,303,2026-01-07T06:37:18.867Z
2009,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,306,291,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,9,Kings XI Punjab,2,1,1,0,241,237,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,6,Royal Challengers Bangalore,1,0,1,0,146,151,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,9,Kings XI Punjab,2,0,2,0,269,279,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,7,Kolkata Knight Riders,1,0,1,0,188,189,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,9,Kings XI Punjab,2,0,2,0,279,284,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,4,Rajasthan Royals,2,2,0,0,372,354,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,290,207,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,0,Sunrisers Hyderabad,2,1,1,0,297,298,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,1,1,0,294,290,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,4,Rajasthan Royals,2,0,2,0,314,320,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,326,331,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,7,Kolkata Knight Riders,3,1,2,0,492,381,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,9,Kings XI Punjab,2,0,2,0,339,345,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,11,Delhi Daredevils,3,2,1,0,480,375,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,4,Rajasthan Royals,2,1,1,0,326,327,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,0,Sunrisers Hyderabad,2,1,1,0,379,356,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,0,1,1,282,101,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,8,Rising Pune Supergiants,2,2,0,0,380,363,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,11,Delhi Daredevils,2,1,1,0,321,321,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,2,Deccan Chargers,2,1,1,0,323,324,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,4,Rajasthan Royals,2,2,0,0,305,266,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,2,Deccan Chargers,2,2,0,0,342,307,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,1,Chennai Super Kings,2,1,1,0,298,302,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,2,Deccan Chargers,1,1,0,0,165,146,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,1,1,0,0,207,172,2026-01-07T06:37:18.867Z
2017,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,2,0,0,318,293,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,12,Mumbai Indians,2,2,0,0,371,304,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,2,1,1,0,318,316,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,4,Rajasthan Royals,2,1,1,0,313,302,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,7,Kolkata Knight Riders,2,0,2,0,295,305,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,4,Rajasthan Royals,2,1,1,0,351,344,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,6,Royal Challengers Bangalore,1,1,0,0,175,142,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,7,Kolkata Knight Riders,2,1,1,0,295,279,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,2,Deccan Chargers,3,1,2,0,467,485,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,325,285,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,178,227,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,9,Kings XI Punjab,2,1,1,0,325,325,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,254,257,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,12,Mumbai Indians,2,0,2,0,238,243,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,2,0,0,325,290,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,4,Rajasthan Royals,2,0,2,0,354,358,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,7,Kolkata Knight Riders,2,1,1,0,327,327,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,3,1,2,0,606,584,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,2,Deccan Chargers,2,2,0,0,303,301,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,6,Royal Challengers Bangalore,4,3,1,0,693,613,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,232,312,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,7,Kolkata Knight Riders,2,1,1,0,267,212,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,372,372,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,1,Chennai Super Kings,2,0,2,0,296,207,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,4,Rajasthan Royals,2,0,2,0,269,273,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,383,348,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,1,Chennai Super Kings,2,0,2,0,262,358,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,327,327,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,1,Chennai Super Kings,2,0,2,0,225,326,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,288,291,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,9,Kings XI Punjab,1,0,1,0,178,181,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,0,Sunrisers Hyderabad,2,0,2,0,289,298,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,5,Gujarat Lions,2,1,1,0,377,354,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,11,Delhi Daredevils,1,1,0,0,176,158,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,4,Rajasthan Royals,2,0,2,0,250,296,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,3,2,1,0,584,606,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,9,Kings XI Punjab,2,0,2,0,276,256,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,12,Mumbai Indians,2,2,0,0,313,282,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,6,Royal Challengers Bangalore,2,1,1,0,313,308,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,10,Pune Warriors,2,1,1,0,299,286,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,4,Rajasthan Royals,2,0,2,0,227,229,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,1,Chennai Super Kings,3,1,2,0,361,447,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,9,Kings XI Punjab,3,0,3,0,594,663,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,345,313,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,0,2,0,304,311,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,292,348,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,7,Kolkata Knight Riders,2,0,2,0,338,343,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,5,Gujarat Lions,2,1,1,0,371,371,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,2,Deccan Chargers,2,1,1,0,343,269,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,2,Deccan Chargers,2,1,1,0,332,308,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,10,Pune Warriors,2,2,0,0,359,320,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,8,Rising Pune Supergiants,2,1,1,0,339,340,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,312,232,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,1,1,0,273,270,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,9,Kings XI Punjab,2,2,0,0,348,338,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,6,Royal Challengers Bangalore,3,3,0,0,469,417,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,401,264,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,2,0,0,372,331,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,11,Delhi Daredevils,1,1,0,0,133,110,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,11,Delhi Daredevils,2,2,0,0,375,359,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,4,Rajasthan Royals,2,1,1,0,249,249,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,227,178,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,277,241,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,3,2,1,0,457,453,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,0,2,0,222,225,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,12,Mumbai Indians,3,0,3,0,449,464,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,351,206,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,7,Kolkata Knight Riders,3,1,2,0,489,490,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,2,1,1,0,291,292,2026-01-07T06:37:18.867Z
