season,teamsk,teamname,opponentsk,opponentname,matchesplayed,wins,losses,noresults,runsscored,runsconceded,ingestionts
2016,12,Mumbai Indians,0,Sunrisers Hyderabad,2,0,2,0,234,322,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,6,Royal Challengers Bangalore,3,2,1,0,485,467,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,11,Delhi Daredevils,2,0,2,0,403,411,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,4,Rajasthan Royals,2,2,0,0,330,262,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,11,Delhi Daredevils,2,2,0,0,318,304,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,11,Delhi Daredevils,2,0,2,0,324,337,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,1,1,0,326,324,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,4,Rajasthan Royals,2,0,2,0,305,340,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,11,Delhi Daredevils,2,0,2,0,344,355,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,313,314,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,1,1,0,270,273,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,12,Mumbai Indians,4,1,3,0,535,579,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,257,254,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,0,2,0,260,280,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,11,Delhi Daredevils,1,1,0,0,148,131,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,4,Rajasthan Royals,2,1,1,0,324,323,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,1,1,0,324,326,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,0,2,0,331,335,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,313,291,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,10,Pune Warriors,2,1,1,0,319,307,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,4,Rajasthan Royals,2,1,1,0,328,325,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,11,Delhi Daredevils,2,2,0,0,354,194,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,10,Pune Warriors,2,1,0,1,246,187,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,318,344,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,1,1,0,338,325,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,302,284,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,0,2,0,323,228,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,314,313,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,9,Kings XI Punjab,2,1,1,0,281,260,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,1,Chennai Super Kings,2,0,2,0,272,274,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,0,2,0,260,262,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,5,Gujarat Lions,2,0,2,0,358,360,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,1,1,0,313,310,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,372,372,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,0,Sunrisers Hyderabad,2,2,0,0,327,312,2026-01-07T06:37:18.867Z
2010,1,Chennai Super Kings,4,Rajasthan Royals,2,1,1,0,406,400,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,1,1,0,325,338,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,9,Kings XI Punjab,2,2,0,0,340,305,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,4,Rajasthan Royals,1,0,1,0,137,141,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,10,Pune Warriors,2,2,0,0,299,254,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,1,Chennai Super Kings,2,1,1,0,286,299,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,1,Chennai Super Kings,3,0,3,0,471,478,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,9,Kings XI Punjab,2,0,2,0,335,364,2026-01-07T06:37:18.867Z
2008,1,Chennai Super Kings,2,Deccan Chargers,2,1,1,0,292,295,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,6,Royal Challengers Bangalore,3,1,2,0,454,368,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,10,Pune Warriors,2,2,0,0,287,258,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,6,Royal Challengers Bangalore,1,0,1,0,160,161,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,1,1,0,372,371,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,0,2,0,364,370,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,1,Chennai Super Kings,2,1,1,0,296,298,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,2,1,1,0,249,307,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,0,2,0,269,271,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,1,Chennai Super Kings,2,0,2,0,258,287,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,9,Kings XI Punjab,2,1,1,0,307,353,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,9,Kings XI Punjab,2,2,0,0,325,309,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,4,Rajasthan Royals,2,2,0,0,296,292,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,4,Rajasthan Royals,3,1,2,0,412,394,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,11,Delhi Daredevils,2,2,0,0,316,295,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,10,Pune Warriors,2,1,1,0,274,273,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,258,259,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,348,292,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,2,0,0,332,315,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,8,Rising Pune Supergiants,2,1,1,0,282,285,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,0,2,0,315,332,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,1,Chennai Super Kings,2,1,1,0,334,331,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,2,1,1,0,268,308,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,1,1,0,194,310,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,1,1,0,324,326,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,7,Kolkata Knight Riders,2,2,0,0,332,264,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,1,1,0,284,284,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,11,Delhi Daredevils,2,0,2,0,277,282,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,2,Deccan Chargers,2,2,0,0,310,305,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,11,Delhi Daredevils,2,2,0,0,337,218,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,2,0,0,288,267,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,6,Royal Challengers Bangalore,3,1,2,0,444,587,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,12,Mumbai Indians,2,0,2,0,329,330,2026-01-07T06:37:18.867Z
2010,6,Royal Challengers Bangalore,2,Deccan Chargers,3,1,2,0,408,419,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,12,Mumbai Indians,2,0,2,0,250,271,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,11,Delhi Daredevils,2,1,1,0,343,331,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,0,Sunrisers Hyderabad,2,0,2,0,243,277,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,9,Kings XI Punjab,2,0,2,0,290,325,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,1,1,0,330,330,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,3,Kochi Tuskers Kerala,1,0,1,0,182,184,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,238,238,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,10,Pune Warriors,2,1,1,0,327,326,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,12,Mumbai Indians,2,1,1,0,308,313,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,7,Kolkata Knight Riders,3,3,0,0,464,449,2026-01-07T06:37:18.867Z
2010,1,Chennai Super Kings,7,Kolkata Knight Riders,2,2,0,0,307,248,2026-01-07T06:37:18.867Z
2010,6,Royal Challengers Bangalore,1,Chennai Super Kings,2,1,1,0,332,297,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,8,Rising Pune Supergiants,4,1,3,0,612,637,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,11,Delhi Daredevils,2,0,1,1,187,246,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,7,Kolkata Knight Riders,2,0,2,0,302,307,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,9,Kings XI Punjab,2,2,0,0,305,295,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,2,0,0,349,335,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,1,Chennai Super Kings,2,0,2,0,305,383,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,9,Kings XI Punjab,2,0,2,0,326,404,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,7,Kolkata Knight Riders,2,1,1,0,339,336,2026-01-07T06:37:18.867Z
2009,12,Mumbai Indians,7,Kolkata Knight Riders,2,2,0,0,335,234,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,3,Kochi Tuskers Kerala,2,1,1,0,283,276,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,355,266,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,7,Kolkata Knight Riders,1,1,0,0,199,190,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,1,Chennai Super Kings,2,1,1,0,295,292,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,0,2,0,312,319,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,2,Deccan Chargers,2,2,0,0,350,246,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,3,Kochi Tuskers Kerala,1,1,0,0,129,74,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,10,Pune Warriors,2,2,0,0,286,245,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,1,Chennai Super Kings,3,0,3,0,417,469,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,1,1,0,376,365,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,6,Royal Challengers Bangalore,3,2,1,0,526,438,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,1,1,0,330,330,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,4,Rajasthan Royals,2,1,1,0,387,348,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,1,Chennai Super Kings,2,0,2,0,280,345,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,11,Delhi Daredevils,3,2,1,0,413,397,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,10,Pune Warriors,2,2,0,0,450,303,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,1,Chennai Super Kings,2,0,2,0,309,325,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,10,Pune Warriors,1,0,1,0,148,151,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,265,265,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,3,2,1,0,381,492,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,1,Chennai Super Kings,3,3,0,0,663,594,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,1,Chennai Super Kings,2,1,1,0,334,343,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,9,Kings XI Punjab,1,0,1,0,188,193,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,9,Kings XI Punjab,2,1,1,0,323,272,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,11,Delhi Daredevils,2,0,2,0,262,330,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,12,Mumbai Indians,2,0,2,0,322,326,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,10,Pune Warriors,2,0,2,0,231,233,2026-01-07T06:37:18.867Z
2014,4,Rajasthan Royals,7,Kolkata Knight Riders,2,2,0,0,322,312,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,4,Rajasthan Royals,3,2,1,0,427,496,2026-01-07T06:37:18.867Z
2014,4,Rajasthan Royals,1,Chennai Super Kings,2,0,2,0,281,289,2026-01-07T06:37:18.867Z
2015,1,Chennai Super Kings,12,Mumbai Indians,4,1,3,0,670,731,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,0,2,0,288,294,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,9,Kings XI Punjab,2,2,0,0,335,310,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,2,Deccan Chargers,2,0,2,0,338,348,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,6,Royal Challengers Bangalore,3,0,2,1,239,514,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,337,324,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,10,Pune Warriors,2,2,0,0,363,332,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,1,Chennai Super Kings,2,1,1,0,271,248,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,1,Chennai Super Kings,2,1,1,0,356,379,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,0,Sunrisers Hyderabad,2,1,1,0,331,334,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,1,1,0,290,294,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,4,Rajasthan Royals,2,2,0,0,289,281,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,292,285,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,3,Kochi Tuskers Kerala,2,1,1,0,208,207,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,12,Mumbai Indians,3,1,2,0,496,427,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,7,Kolkata Knight Riders,4,1,3,0,615,622,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,12,Mumbai Indians,2,0,2,0,361,366,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,12,Mumbai Indians,2,1,1,0,298,297,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,4,Rajasthan Royals,3,1,2,0,375,480,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,1,Chennai Super Kings,4,3,1,0,579,535,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,4,Rajasthan Royals,2,1,1,0,272,323,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,7,Kolkata Knight Riders,2,2,0,0,288,265,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,1,Chennai Super Kings,2,2,0,0,279,269,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,11,Delhi Daredevils,2,0,2,0,283,288,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,4,Rajasthan Royals,2,2,0,0,386,345,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,6,Royal Challengers Bangalore,2,0,2,0,320,359,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,10,Pune Warriors,2,2,0,0,245,212,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,0,2,0,335,349,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,1,Chennai Super Kings,4,1,3,0,613,693,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,12,Mumbai Indians,2,0,2,0,324,329,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,352,344,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,11,Delhi Daredevils,3,2,1,0,447,361,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,4,Rajasthan Royals,1,1,0,0,195,147,2026-01-07T06:37:18.867Z
2015,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,1,1,0,326,324,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,0,Sunrisers Hyderabad,3,0,3,0,423,429,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,12,Mumbai Indians,2,0,2,0,332,360,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,11,Delhi Daredevils,2,1,1,0,360,290,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,4,Rajasthan Royals,2,0,2,0,267,335,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,11,Delhi Daredevils,2,1,1,0,338,320,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,2,Deccan Chargers,2,2,0,0,364,335,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,5,Gujarat Lions,2,1,1,0,338,333,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,12,Mumbai Indians,2,1,1,0,285,282,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,8,Rising Pune Supergiants,2,0,2,0,283,242,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,6,Royal Challengers Bangalore,2,0,2,0,318,327,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,299,246,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,2,Deccan Chargers,2,1,1,0,273,274,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,5,Gujarat Lions,2,1,1,0,315,293,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,0,2,0,194,196,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,2,0,0,367,313,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,9,Kings XI Punjab,2,0,2,0,284,286,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,5,Gujarat Lions,2,0,2,0,282,289,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,7,Kolkata Knight Riders,2,1,1,0,251,252,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,11,Delhi Daredevils,2,2,0,0,358,262,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,12,Mumbai Indians,2,1,1,0,295,290,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,12,Mumbai Indians,2,1,1,0,290,360,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,9,Kings XI Punjab,2,0,2,0,301,303,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,10,Pune Warriors,2,2,0,0,284,257,2026-01-07T06:37:18.867Z
2013,12,Mumbai Indians,11,Delhi Daredevils,2,1,1,0,370,330,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,4,Rajasthan Royals,2,1,1,0,327,329,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,12,Mumbai Indians,2,1,1,0,329,317,2026-01-07T06:37:18.867Z
2014,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,2,1,1,0,316,318,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,6,Royal Challengers Bangalore,2,0,2,0,363,380,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,7,Kolkata Knight Riders,2,0,2,0,240,245,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,4,Rajasthan Royals,2,2,0,0,345,280,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,12,Mumbai Indians,2,2,0,0,300,262,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,12,Mumbai Indians,2,0,2,0,264,332,2026-01-07T06:37:18.867Z
2017,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,0,2,0,207,290,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,2,Deccan Chargers,2,2,0,0,337,324,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,2,1,1,0,292,291,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,4,Rajasthan Royals,2,1,1,0,293,283,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,4,Rajasthan Royals,1,0,1,0,151,152,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,10,Pune Warriors,2,1,1,0,221,248,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,1,Chennai Super Kings,2,1,1,0,329,327,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,1,Chennai Super Kings,4,3,1,0,731,670,2026-01-07T06:37:18.867Z
2008,1,Chennai Super Kings,12,Mumbai Indians,2,1,1,0,364,360,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,1,Chennai Super Kings,2,0,2,0,305,324,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,7,Kolkata Knight Riders,2,0,2,0,263,305,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,7,Kolkata Knight Riders,2,1,1,0,300,267,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,6,Royal Challengers Bangalore,2,1,1,0,405,426,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,1,Chennai Super Kings,1,1,0,0,164,156,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,7,Kolkata Knight Riders,2,2,0,0,324,305,2026-01-07T06:37:18.867Z
